href,text
https://phoenix.craigslist.org/,phoenix
https://losangeles.craigslist.org/,los angeles
https://orangecounty.craigslist.org/,orange county
https://sfbay.craigslist.org/,san francisco bay area
https://ventura.craigslist.org/,ventura county
https://denver.craigslist.org/,denver
https://rockies.craigslist.org/,high rockies
https://hartford.craigslist.org/,hartford
https://newhaven.craigslist.org/,new haven
https://nwct.craigslist.org/,northwest CT
https://delaware.craigslist.org/,delaware
https://washingtondc.craigslist.org/,washington
http://miami.craigslist.org/brw/,broward county
https://daytona.craigslist.org/,daytona beach
https://keys.craigslist.org/,florida keys
https://fortlauderdale.craigslist.org/,fort lauderdale
https://jacksonville.craigslist.org/,jacksonville
http://miami.craigslist.org/mdc/,miami / dade
https://orlando.craigslist.org/,orlando
https://miami.craigslist.org/,south florida
https://staugustine.craigslist.org/,st augustine
https://tallahassee.craigslist.org/,tallahassee
https://tampa.craigslist.org/,tampa bay area
https://treasure.craigslist.org/,treasure coast
http://miami.craigslist.org/pbc/,palm beach county
https://richmondin.craigslist.org/,richmond
https://ksu.craigslist.org/,manhattan
https://baltimore.craigslist.org/,baltimore
https://easternshore.craigslist.org/,eastern shore
https://smd.craigslist.org/,southern maryland
https://westmd.craigslist.org/,western maryland
https://boston.craigslist.org/,boston
https://capecod.craigslist.org/,cape cod / islands
https://westernmass.craigslist.org/,western massachusetts
https://worcester.craigslist.org/,worcester / central MA
https://annarbor.craigslist.org/,ann arbor
https://centralmich.craigslist.org/,central michigan
https://detroit.craigslist.org/,detroit metro
https://nmi.craigslist.org/,northern michigan
https://lasvegas.craigslist.org/,las vegas
https://nh.craigslist.org/,new hampshire
https://cnj.craigslist.org/,central NJ
https://jerseyshore.craigslist.org/,jersey shore
https://newjersey.craigslist.org/,north jersey
https://southjersey.craigslist.org/,south jersey
https://longisland.craigslist.org/,long island
https://newyork.craigslist.org/,new york city
